TICKER
AGRO
ALUA
APBR
AUSO
BBAR
BHIP
BMA
BMA.5
BOLT
BPAT
BRIO
BRIO6
BYMA
CADO
CAPU
CAPX
CARC
CECO2
CELU
CEPU
CEPU2
CGPA2
CHAS
COLO
COME
COMO
COUR
CRES
CTGM
CTIO
CVH
DGCU2
DLAP
DOME
DSUR
DYCA
EDLH
EDN
EDSH
EMAC
EMDE
ERAR
ESME
ESTR
EURO
FERR
FIPL
FRAN
GAMI
GARO
GBAN
GCLA
GGAL
GGALD
GRIM
HARG
HAVA
HULI
IEBA
INAG
INDU
INTR
INVJ
IRCP
IRSA
JMIN
LEDE
LEID
LOMA
LONG
MERA
METR
MIRG
MOLA
MOLI
MORI
MTBA
MTR
MVIA
NCON
NORT6
OEST
OVOP
PAMP
PATA
PATR
PATY
PESA
PETR
PGR
POLL
PREN1
PSUR
REGE
REP
RICH
RIGO
ROSE
SAMI
SEMI
Sth
SUPV
TECO2
TGLT
TGNO4
TGSU2
TRAN
TS
TXAR
TXARD
URBA
VALO
YPFD
