Date,AGRO.BA,ALUA.BA,AUSO.BA,BBAR.BA,BHIP.BA,BMA.BA,BOLT.BA,BPAT.BA,BRIO.BA,BRIO6.BA,BYMA.BA,CADO.BA,CAPX.BA,CARC.BA,CECO2.BA,CELU.BA,CEPU.BA,CGPA2.BA,COME.BA,CRES.BA,CTIO.BA,CVH.BA,DGCU2.BA,DOME.BA,DYCA.BA,EDLH.BA,EDN.BA,EMDE.BA,FERR.BA,FIPL.BA,GAMI.BA,GARO.BA,GBAN.BA,GCLA.BA,GGAL.BA,GRIM.BA,HARG.BA,HAVA.BA,HULI.BA,INAG.BA,INTR.BA,INVJ.BA,IRCP.BA,IRSA.BA,LEDE.BA,LOMA.BA,LONG.BA,METR.BA,MIRG.BA,MOLA.BA,MOLI.BA,MORI.BA,MTR.BA,OEST.BA,PAMP.BA,PATA.BA,PGR.BA,POLL.BA,RIGO.BA,ROSE.BA,SAMI.BA,SEMI.BA,SUPV.BA,TECO2.BA,TGLT.BA,TGNO4.BA,TGSU2.BA,TRAN.BA,TXAR.BA,VALO.BA,YPFD.BA,^MERV
2011-01-17,34787.0,224806.0,36408.0,48432.0,148000.0,24100.0,325259.0,68200.0,41876.0,49396.0,,1632.0,197704.0,45671.0,12000.0,29595.0,43392.0,2000.0,1032329.0,2460.0,558.0,,,9759.0,10933.0,,93400.0,,0.0,34195.0,8740.0,23507.0,0.0,884.0,241200.0,12060.0,88064.0,,0.0,,0.0,,,93437.0,77400.0,,22317.0,8892.0,8118.0,,17189.0,11820.0,,,167400.0,,,2360.0,2096.0,3028.0,19094.0,103552.0,,95300.0,0.0,25155.0,8058.0,115800.0,0.0,0.0,2700.0,0.0
2011-01-18,26437.0,431282.0,47708.0,187353.0,668560.0,122888.0,875624.0,661180.0,33644.0,29528.0,,20512.0,98507.0,12223.0,23386.0,45813.0,123904.0,,830228.0,14458.0,1865.0,,3478.0,11153.0,2075.0,,827742.0,,4644.0,5974.0,4659.0,47338.0,0.0,43741.0,1181366.0,10638.0,61164.0,,0.0,800.0,0.0,,,417604.0,74418.0,,41890.0,20231.0,12558.0,,46483.0,7240.0,,7168.0,2110321.0,1620.0,,1642.0,1486.0,41575.0,45654.0,40447.0,,345882.0,0.0,173838.0,38987.0,655006.0,0.0,0.0,5004.0,0.0
2011-01-19,28295.0,368243.0,230292.0,292291.0,442814.0,111198.0,584339.0,398817.0,34880.0,183880.0,,30191.0,85100.0,31903.0,64424.0,50773.0,142520.0,1000.0,2150552.0,18709.0,,,750.0,2788.0,7969.0,,400631.0,,0.0,57463.0,5746.0,63634.0,0.0,11735.0,2250909.0,10835.0,46696.0,,0.0,,1906.0,,,138755.0,150459.0,,55971.0,45799.0,16026.0,,88060.0,9009.0,,,1295694.0,3000.0,,30.0,3147.0,51378.0,18668.0,150001.0,,328749.0,4500.0,152579.0,170588.0,720096.0,0.0,0.0,13467.0,0.0
2011-01-20,48720.0,344363.0,78980.0,107316.0,289187.0,64851.0,279674.0,480538.0,34008.0,58720.0,,21333.0,41410.0,35882.0,47743.0,41514.0,138448.0,2050.0,1059361.0,11693.0,10260.0,,,10746.0,4762.0,,2436996.0,1000.0,0.0,1698.0,2224.0,14084.0,0.0,,2459732.0,5364.0,6060.0,,0.0,,2516.0,,,60218.0,133581.0,,12873.0,137820.0,10059.0,,55208.0,10697.0,,500.0,8103643.0,,,2275.0,1010.0,19610.0,23999.0,188199.0,,266903.0,0.0,195568.0,640001.0,1494280.0,0.0,0.0,3459.0,0.0
2011-01-21,49091.0,282004.0,33925.0,136253.0,456404.0,46696.0,159959.0,128498.0,4412.0,19904.0,,20980.0,8000.0,33861.0,2500.0,105339.0,210152.0,3639.0,2456033.0,10853.0,12200.0,,1000.0,6558.0,4200.0,,2924135.0,1223.0,0.0,31099.0,1539.0,13732.0,0.0,14.0,790107.0,12892.0,17609.0,,0.0,,3812.0,,,105437.0,147284.0,,44732.0,109072.0,16845.0,,27445.0,20443.0,,8927.0,8473926.0,,,10909.0,1672.0,21289.0,10535.0,220021.0,,168355.0,0.0,140392.0,89566.0,1037744.0,0.0,0.0,14303.0,0.0
2011-01-24,63887.0,189068.0,24200.0,216821.0,136500.0,16900.0,55094.0,51800.0,40096.0,23076.0,,46286.0,12923.0,16690.0,7298.0,33499.0,75136.0,800.0,5042134.0,13427.0,47453.0,,,,302.0,,299000.0,0.0,0.0,16665.0,3721.0,29197.0,0.0,32.0,942200.0,4391.0,7147.0,,0.0,,7091.0,,,31851.0,68100.0,,6934.0,133943.0,5685.0,,27159.0,15263.0,,9093.0,2186700.0,,,1028.0,2969.0,300.0,1778.0,122129.0,,73400.0,0.0,119827.0,31414.0,472900.0,0.0,0.0,6700.0,0.0
2011-01-25,310249.0,224064.0,,131538.0,356038.0,21406.0,13184.0,218469.0,13800.0,26484.0,,18285.0,24816.0,40695.0,14398.0,33775.0,127528.0,,9050311.0,27393.0,7441.0,,13317.0,,6408.0,,382430.0,0.0,43522.0,65066.0,13931.0,1661.0,0.0,2651.0,697864.0,9690.0,4406.0,,0.0,,2020.0,,,39398.0,84042.0,,58485.0,208267.0,10953.0,,15215.0,16220.0,,,1435931.0,1800.0,,4659.0,3081.0,18638.0,7312.0,118586.0,,199720.0,1400.0,86496.0,42115.0,359741.0,0.0,0.0,13985.0,0.0
2011-01-26,98424.0,273947.0,59177.0,74385.0,561100.0,33900.0,53699.0,214400.0,5332.0,3264.0,,48968.0,57680.0,26739.0,17862.0,85359.0,71272.0,,3092742.0,24621.0,17000.0,,,,3734.0,,452200.0,0.0,66833.0,25250.0,3021.0,2112.0,0.0,6190.0,573500.0,6050.0,28491.0,,0.0,1170.0,21995.0,,,77167.0,99300.0,,42515.0,748257.0,47229.0,,17075.0,3130.0,,,980600.0,2650.0,,7540.0,378.0,,3590.0,48044.0,,119500.0,100500.0,197741.0,60992.0,420200.0,0.0,0.0,7100.0,0.0
2011-01-27,43066.0,126082.0,371065.0,225504.0,234965.0,179635.0,139739.0,71300.0,20000.0,0.0,,101453.0,14415.0,218087.0,33409.0,37988.0,70272.0,6624.0,1529470.0,19959.0,11739.0,,,,200.0,,310166.0,0.0,29954.0,33033.0,3840.0,28239.0,0.0,297.0,719973.0,2087.0,9561.0,,0.0,,17523.0,,,75200.0,229042.0,,23491.0,493840.0,22608.0,,13860.0,2904.0,,10000.0,778769.0,3200.0,,7495.0,458.0,29900.0,5162.0,54660.0,,212569.0,0.0,772769.0,132413.0,365612.0,0.0,0.0,9806.0,0.0
2011-01-28,21520.0,132627.0,2000.0,126671.0,224542.0,37211.0,27479.0,430148.0,73492.0,31136.0,,62323.0,10294.0,154986.0,26610.0,57007.0,43168.0,,1801883.0,17918.0,,,650.0,1394.0,139.0,,142381.0,0.0,6683.0,55964.0,7036.0,14619.0,0.0,2901.0,533711.0,,8188.0,,0.0,,0.0,,,92619.0,105499.0,,4012.0,318301.0,11091.0,,25584.0,15538.0,,6217.0,1861188.0,1840.0,,1778.0,4833.0,61230.0,9167.0,57887.0,,254773.0,0.0,292896.0,101825.0,293657.0,0.0,0.0,13887.0,0.0
